Epoch: 54 - train loss: 2.63e-03 - valid loss: 5.23e-03, valid pesq: 2.23, valid stoi: 8.53e-01
Epoch: 55 - train loss: 2.46e-03 - valid loss: 5.23e-03, valid pesq: 2.23, valid stoi: 8.53e-01
Epoch: 56 - train loss: 2.46e-03 - valid loss: 5.42e-03, valid pesq: 2.23, valid stoi: 8.52e-01
Epoch: 57 - train loss: 2.48e-03 - valid loss: 5.15e-03, valid pesq: 2.24, valid stoi: 8.54e-01
Epoch: 58 - train loss: 2.48e-03 - valid loss: 5.50e-03, valid pesq: 2.25, valid stoi: 8.52e-01
Epoch: 59 - train loss: 2.43e-03 - valid loss: 5.50e-03, valid pesq: 2.24, valid stoi: 8.52e-01
Epoch: 60 - train loss: 2.42e-03 - valid loss: 5.35e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 61 - train loss: 2.41e-03 - valid loss: 5.06e-03, valid pesq: 2.25, valid stoi: 8.54e-01
Epoch: 62 - train loss: 2.50e-03 - valid loss: 5.21e-03, valid pesq: 2.26, valid stoi: 8.54e-01
Epoch: 63 - train loss: 2.41e-03 - valid loss: 5.46e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 64 - train loss: 2.41e-03 - valid loss: 5.11e-03, valid pesq: 2.27, valid stoi: 8.53e-01
Epoch: 65 - train loss: 2.37e-03 - valid loss: 5.25e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 66 - train loss: 2.36e-03 - valid loss: 5.27e-03, valid pesq: 2.26, valid stoi: 8.53e-01
Epoch: 67 - train loss: 2.37e-03 - valid loss: 5.67e-03, valid pesq: 2.24, valid stoi: 8.52e-01
Epoch: 68 - train loss: 2.36e-03 - valid loss: 5.43e-03, valid pesq: 2.26, valid stoi: 8.53e-01
Epoch: 69 - train loss: 2.34e-03 - valid loss: 5.11e-03, valid pesq: 2.27, valid stoi: 8.53e-01
Epoch: 70 - train loss: 2.35e-03 - valid loss: 5.12e-03, valid pesq: 2.26, valid stoi: 8.54e-01
Epoch: 71 - train loss: 2.32e-03 - valid loss: 5.38e-03, valid pesq: 2.26, valid stoi: 8.53e-01
Epoch: 72 - train loss: 2.33e-03 - valid loss: 5.17e-03, valid pesq: 2.25, valid stoi: 8.54e-01
Epoch: 73 - train loss: 2.31e-03 - valid loss: 4.95e-03, valid pesq: 2.26, valid stoi: 8.53e-01
Epoch: 74 - train loss: 2.30e-03 - valid loss: 5.50e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 75 - train loss: 2.29e-03 - valid loss: 5.21e-03, valid pesq: 2.28, valid stoi: 8.52e-01
Epoch: 76 - train loss: 2.29e-03 - valid loss: 5.25e-03, valid pesq: 2.27, valid stoi: 8.53e-01
Epoch: 77 - train loss: 2.29e-03 - valid loss: 5.38e-03, valid pesq: 2.26, valid stoi: 8.53e-01
Epoch: 78 - train loss: 2.26e-03 - valid loss: 5.09e-03, valid pesq: 2.27, valid stoi: 8.53e-01
Epoch: 79 - train loss: 2.26e-03 - valid loss: 5.37e-03, valid pesq: 2.26, valid stoi: 8.53e-01
Epoch: 80 - train loss: 2.25e-03 - valid loss: 5.52e-03, valid pesq: 2.24, valid stoi: 8.52e-01
Epoch: 81 - train loss: 2.25e-03 - valid loss: 5.37e-03, valid pesq: 2.26, valid stoi: 8.52e-01
Epoch: 82 - train loss: 2.24e-03 - valid loss: 5.30e-03, valid pesq: 2.27, valid stoi: 8.53e-01
Epoch: 83 - train loss: 2.23e-03 - valid loss: 5.31e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 84 - train loss: 2.22e-03 - valid loss: 5.48e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 85 - train loss: 2.22e-03 - valid loss: 5.18e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 86 - train loss: 2.21e-03 - valid loss: 5.09e-03, valid pesq: 2.28, valid stoi: 8.53e-01
Epoch: 87 - train loss: 2.20e-03 - valid loss: 5.35e-03, valid pesq: 2.25, valid stoi: 8.54e-01
Epoch: 88 - train loss: 2.20e-03 - valid loss: 5.42e-03, valid pesq: 2.26, valid stoi: 8.52e-01
Epoch: 89 - train loss: 2.19e-03 - valid loss: 5.20e-03, valid pesq: 2.27, valid stoi: 8.53e-01
Epoch: 90 - train loss: 2.18e-03 - valid loss: 5.04e-03, valid pesq: 2.26, valid stoi: 8.53e-01
Epoch: 91 - train loss: 2.18e-03 - valid loss: 5.44e-03, valid pesq: 2.25, valid stoi: 8.52e-01
Epoch: 92 - train loss: 2.17e-03 - valid loss: 5.43e-03, valid pesq: 2.24, valid stoi: 8.52e-01
Epoch: 93 - train loss: 2.16e-03 - valid loss: 5.50e-03, valid pesq: 2.22, valid stoi: 8.52e-01
Epoch: 94 - train loss: 2.16e-03 - valid loss: 5.24e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 95 - train loss: 2.15e-03 - valid loss: 5.14e-03, valid pesq: 2.26, valid stoi: 8.53e-01
Epoch: 96 - train loss: 2.15e-03 - valid loss: 5.06e-03, valid pesq: 2.27, valid stoi: 8.54e-01
Epoch: 97 - train loss: 2.18e-03 - valid loss: 5.34e-03, valid pesq: 2.23, valid stoi: 8.54e-01
Epoch: 98 - train loss: 2.13e-03 - valid loss: 5.22e-03, valid pesq: 2.27, valid stoi: 8.53e-01
Epoch: 99 - train loss: 2.13e-03 - valid loss: 5.47e-03, valid pesq: 2.24, valid stoi: 8.53e-01
Epoch: 100 - train loss: 2.13e-03 - valid loss: 5.30e-03, valid pesq: 2.26, valid stoi: 8.53e-01
Epoch: 101 - train loss: 2.12e-03 - valid loss: 5.70e-03, valid pesq: 2.25, valid stoi: 8.52e-01
Epoch: 102 - train loss: 2.12e-03 - valid loss: 5.54e-03, valid pesq: 2.22, valid stoi: 8.53e-01
Epoch: 103 - train loss: 2.11e-03 - valid loss: 5.38e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 104 - train loss: 2.12e-03 - valid loss: 5.43e-03, valid pesq: 2.26, valid stoi: 8.54e-01
Epoch: 105 - train loss: 2.13e-03 - valid loss: 5.53e-03, valid pesq: 2.22, valid stoi: 8.53e-01
Epoch: 106 - train loss: 2.09e-03 - valid loss: 5.22e-03, valid pesq: 2.23, valid stoi: 8.54e-01
Epoch: 107 - train loss: 2.08e-03 - valid loss: 5.52e-03, valid pesq: 2.23, valid stoi: 8.52e-01
Epoch: 108 - train loss: 2.09e-03 - valid loss: 5.28e-03, valid pesq: 2.24, valid stoi: 8.54e-01
Epoch: 109 - train loss: 2.08e-03 - valid loss: 5.50e-03, valid pesq: 2.24, valid stoi: 8.53e-01
Epoch: 110 - train loss: 2.08e-03 - valid loss: 5.55e-03, valid pesq: 2.24, valid stoi: 8.53e-01
Epoch: 111 - train loss: 2.07e-03 - valid loss: 5.47e-03, valid pesq: 2.24, valid stoi: 8.53e-01
Epoch: 112 - train loss: 2.07e-03 - valid loss: 5.73e-03, valid pesq: 2.24, valid stoi: 8.53e-01
Epoch: 113 - train loss: 2.06e-03 - valid loss: 5.29e-03, valid pesq: 2.24, valid stoi: 8.54e-01
